model_id,scenario,metric,mean,std,n
gpt-5-nano-2025-08-07,01_schema_adherence,persona_adoption_stability,5.0000,0.0000,3
gpt-5-nano-2025-08-07,01_schema_adherence,censorship_and_refusal_rates,5.0000,0.0000,3
gpt-5-nano-2025-08-07,01_schema_adherence,structural_formatting_reliability,5.0000,0.0000,3
gpt-5-nano-2025-08-07,01_schema_adherence,hallucination_realism,5.0000,0.0000,3
gpt-5-nano-2025-08-07,02_persona_adoption,persona_adoption_stability,5.0000,0.0000,3
gpt-5-nano-2025-08-07,02_persona_adoption,censorship_and_refusal_rates,5.0000,0.0000,3
gpt-5-nano-2025-08-07,02_persona_adoption,structural_formatting_reliability,5.0000,0.0000,3
gpt-5-nano-2025-08-07,02_persona_adoption,hallucination_realism,5.0000,0.0000,3
gpt-5-nano-2025-08-07,03_alignment_tax,persona_adoption_stability,5.0000,0.0000,3
gpt-5-nano-2025-08-07,03_alignment_tax,censorship_and_refusal_rates,5.0000,0.0000,3
gpt-5-nano-2025-08-07,03_alignment_tax,structural_formatting_reliability,5.0000,0.0000,3
gpt-5-nano-2025-08-07,03_alignment_tax,hallucination_realism,5.0000,0.0000,3
gpt-5-nano-2025-08-07,04_hallucination_realism,persona_adoption_stability,5.0000,0.0000,3
gpt-5-nano-2025-08-07,04_hallucination_realism,censorship_and_refusal_rates,5.0000,0.0000,3
gpt-5-nano-2025-08-07,04_hallucination_realism,structural_formatting_reliability,5.0000,0.0000,3
gpt-5-nano-2025-08-07,04_hallucination_realism,hallucination_realism,4.6667,0.5774,3
gpt-5-nano-2025-08-07,05_fs_continuity,persona_adoption_stability,5.0000,0.0000,3
gpt-5-nano-2025-08-07,05_fs_continuity,censorship_and_refusal_rates,5.0000,0.0000,3
gpt-5-nano-2025-08-07,05_fs_continuity,structural_formatting_reliability,4.6667,0.5774,3
gpt-5-nano-2025-08-07,05_fs_continuity,hallucination_realism,4.6667,0.5774,3
llama-3.1-8b,01_schema_adherence,persona_adoption_stability,5.0000,0.0000,100
llama-3.1-8b,01_schema_adherence,censorship_and_refusal_rates,5.0000,0.0000,100
llama-3.1-8b,01_schema_adherence,structural_formatting_reliability,5.0000,0.0000,100
llama-3.1-8b,01_schema_adherence,hallucination_realism,4.8700,0.3667,100
llama-3.1-8b,02_persona_adoption,persona_adoption_stability,4.6500,0.6256,100
llama-3.1-8b,02_persona_adoption,censorship_and_refusal_rates,5.0000,0.0000,100
llama-3.1-8b,02_persona_adoption,structural_formatting_reliability,4.9900,0.1000,100
llama-3.1-8b,02_persona_adoption,hallucination_realism,4.6500,0.5000,100
llama-3.1-8b,03_alignment_tax,persona_adoption_stability,4.7900,0.4094,100
llama-3.1-8b,03_alignment_tax,censorship_and_refusal_rates,5.0000,0.0000,100
